accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Home_or_apt,room_type_Privateroom,room_type_Sharedroom
4,1,2,2,2,2,52.37247969,4.853775189,1,1,3.185744185,1,0,1,0,0
2,1,1,1,1,1,52.36227729,4.895479012,2,6,1.898346924,1,0,0,1,0
4,1,1,1,2,1,52.37753474,4.890277408,3,33,0.647580206,0,1,1,0,0
2,1.5,1,1,1,1,52.35547142,4.813276283,2,6,6.412499482,0,1,1,0,0
4,1,2,1,2,1,52.38952702,4.886659597,2,75,1.438799519,1,0,1,0,0
2,1,1,1,1,1,52.3483747,4.84806158,5,0,4.886353571,0,1,1,0,0
2,1,0,1,1,1,52.37701612,4.845917073,3,29,3.638197258,1,0,1,0,0
2,1,1,1,1,1,52.37380834,4.881407961,1,0,1.361031255,0,1,0,1,0
4,1.5,2,1,2,1,52.36017572,4.913221496,3,2,2.310763651,1,0,1,0,0
3,1,1,1,1,1,52.3623194,4.865509046,3,10,2.968372809,1,0,1,0,0
4,1,1,1,2,1,52.37404771,4.877268799,2,44,1.608343524,1,0,1,0,0
3,1,2,1,2,1,52.38114497,4.818914694,1,21,5.465979471,1,0,1,0,0
2,1,1,2,2,2,52.42282699,4.892090239,1,29,4.874750692,1,0,0,1,0
2,1.5,1,15,1,15,52.37354714,4.898366141,1,24,0.631100035,1,0,0,1,0
2,1,1,1,1,1,52.37334883,4.864233143,2,6,2.474409193,1,0,1,0,0
4,1,2,1,2,1,52.41079265,4.961213564,3,43,5.466775493,1,0,0,1,0
4,1,0,1,2,2,52.37870665,4.870991393,7,98,1.929939444,1,0,1,0,0
2,1,0,1,1,1,52.38988128,4.891415144,2,0,1.306662448,1,0,1,0,0
4,1,2,1,1,1,52.36046306,4.994135199,1,0,6.754120217,1,0,1,0,0
2,1,1,3,1,3,52.35777684,4.859877353,5,44,3.586668653,1,0,1,0,0
4,2,2,1,2,1,52.40687755,4.905288036,3,31,3.10242256,1,0,1,0,0
